REGION_NO,ADM2_EN,ADM3_EN,ADM3_CODE,TOTAL_EMPLOYED,AGRI_EMPLOYED,PERCENT_AGRI
5,CAMARINES SUR,Magarao,PH051720000,40.0,12.0,30.0
5,CAMARINES SUR,Milaor,PH051721000,42.0,4.0,9.52
5,CAMARINES SUR,Minalabac,PH051722000,73.0,22.0,30.14
5,CAMARINES SUR,Nabua,PH051723000,168.0,23.0,13.69
5,CAMARINES SUR,City of Naga,PH051724000,971.0,22.0,2.27
5,CAMARINES SUR,Ocampo,PH051725000,205.0,86.0,41.95
5,CAMARINES SUR,Pamplona,PH051726000,138.0,50.0,36.23
5,CAMARINES SUR,Pasacao,PH051727000,161.0,17.0,10.56
5,CAMARINES SUR,Pili,PH051728000,399.0,51.0,12.78
5,CAMARINES SUR,Presentacion,PH051729000,69.0,31.0,44.93
5,CAMARINES SUR,Ragay,PH051730000,177.0,44.0,24.86
5,CAMARINES SUR,Sagñay,PH051731000,98.0,46.0,46.94
5,CAMARINES SUR,San Fernando,PH051732000,95.0,26.0,27.37
5,CAMARINES SUR,San Jose,PH051733000,74.0,25.0,33.78
5,CAMARINES SUR,Sipocot,PH051734000,103.0,57.0,55.34
5,CAMARINES SUR,Siruma,PH051735000,81.0,39.0,48.15
5,CAMARINES SUR,Tigaon,PH051736000,252.0,45.0,17.86
5,CAMARINES SUR,Tinambac,PH051737000,260.0,106.0,40.77
10,CAMIGUIN,Catarman,PH101801000,542.0,159.0,29.34
10,CAMIGUIN,Guinsiliban,PH101802000,208.0,62.0,29.81
10,CAMIGUIN,Mahinog,PH101803000,411.0,121.0,29.44
10,CAMIGUIN,Mambajao,PH101804000,1500.0,249.0,16.6
10,CAMIGUIN,Sagay,PH101805000,364.0,138.0,37.91
6,CAPIZ,Cuartero,PH061901000,231.0,145.0,62.77
6,CAPIZ,Dao,PH061902000,289.0,148.0,51.21
6,CAPIZ,Dumalag,PH061903000,174.0,103.0,59.2
6,CAPIZ,Dumarao,PH061904000,341.0,252.0,73.9
6,CAPIZ,Ivisan,PH061905000,267.0,74.0,27.72
6,CAPIZ,Jamindan,PH061906000,424.0,239.0,56.37
6,CAPIZ,Ma-Ayon,PH061907000,239.0,180.0,75.31
6,CAPIZ,Mambusao,PH061908000,186.0,73.0,39.25
6,CAPIZ,Panay,PH061909000,343.0,162.0,47.23
6,CAPIZ,Panitan,PH061910000,301.0,163.0,54.15
6,CAPIZ,Pilar,PH061911000,282.0,128.0,45.39
6,CAPIZ,Pontevedra,PH061912000,363.0,116.0,31.96
6,CAPIZ,President Roxas,PH061913000,430.0,179.0,41.63
6,CAPIZ,City of Roxas,PH061914000,1527.0,110.0,7.2
6,CAPIZ,Sapi-An,PH061915000,145.0,65.0,44.83
6,CAPIZ,Sigma,PH061916000,288.0,142.0,49.31
6,CAPIZ,Tapaz,PH061917000,484.0,292.0,60.33
5,CATANDUANES,Bagamanoc,PH052001000,377.0,173.0,45.89
5,CATANDUANES,Baras,PH052002000,230.0,71.0,30.87
5,CATANDUANES,Bato,PH052003000,527.0,164.0,31.12
5,CATANDUANES,Caramoran,PH052004000,635.0,308.0,48.5
5,CATANDUANES,Gigmoto,PH052005000,146.0,83.0,56.85
5,CATANDUANES,Pandan,PH052006000,617.0,280.0,45.38
5,CATANDUANES,Panganiban,PH052007000,219.0,88.0,40.18
5,CATANDUANES,San Andres,PH052008000,716.0,184.0,25.7
5,CATANDUANES,San Miguel,PH052009000,354.0,165.0,46.61
5,CATANDUANES,Viga,PH052010000,526.0,270.0,51.33
5,CATANDUANES,Virac,PH052011000,1886.0,164.0,8.7
4,CAVITE,Alfonso,PH042101000,153.0,24.0,15.69
4,CAVITE,Amadeo,PH042102000,43.0,6.0,13.95
4,CAVITE,City of Bacoor,PH042103000,681.0,7.0,1.03
4,CAVITE,City of Carmona,PH042104000,285.0,5.0,1.75
8,CAVITE,City of Cavite,PH042105000,246.0,8.0,3.25
4,CAVITE,City of Dasmariñas,PH042106000,896.0,4.0,0.45
4,CAVITE,General Emilio Aguinaldo,PH042107000,19.0,2.0,10.53
